inventory_id,product_id,stock_remaining,ware_house_id,restock_date
1,277,57,3,2024-02-17
2,278,63,1,2024-02-24
3,423,47,3,2024-03-02
4,318,92,4,2024-02-22
5,765,93,1,2024-02-17
6,402,24,3,2024-02-13
7,268,61,4,2024-02-03
8,239,85,1,2024-02-13
9,781,36,3,2024-02-02
10,448,65,1,2024-02-03
11,152,68,5,2024-02-09
12,45,39,5,2024-03-01
13,541,96,5,2024-02-07
14,238,15,2,2024-02-08
15,750,36,1,2024-02-03
16,440,48,1,2024-02-03
17,226,10,4,2024-02-29
18,531,74,1,2024-02-12
19,374,80,1,2024-02-23
20,77,91,4,2024-02-28
21,399,49,2,2024-02-13
22,202,20,3,2024-02-10
23,162,85,3,2024-02-19
24,738,38,5,2024-02-25
25,580,10,2,2024-02-06
26,72,54,5,2024-02-10
27,105,10,5,2024-02-04
28,778,23,4,2024-02-27
29,153,78,4,2024-02-20
30,309,92,1,2024-02-09
31,77,88,4,2024-02-03
32,569,28,4,2024-03-02
33,162,72,5,2024-02-24
34,286,63,2,2024-02-24
35,166,70,3,2024-02-21
36,597,17,3,2024-03-01
37,502,58,5,2024-02-11
38,532,36,2,2024-02-02
39,234,10,2,2024-02-05
40,24,66,5,2024-02-21
41,795,87,3,2024-02-09
42,587,91,1,2024-02-25
43,10,47,4,2024-02-12
44,602,98,3,2024-02-27
45,489,100,5,2024-02-28
46,332,19,4,2024-02-26
47,109,79,4,2024-02-08
48,725,65,4,2024-02-04
49,94,58,3,2024-02-26
50,411,97,1,2024-02-16
51,345,39,5,2024-02-15
52,132,72,1,2024-02-16
53,290,34,5,2024-02-10
54,195,39,1,2024-02-19
55,466,39,1,2024-02-20
56,30,94,3,2024-02-26
57,72,76,4,2024-02-07
58,475,48,5,2024-02-14
59,741,84,4,2024-02-23
60,195,11,3,2024-02-14
61,175,96,1,2024-02-02
62,507,28,5,2024-02-14
63,755,70,1,2024-02-03
64,581,71,3,2024-02-22
65,786,36,4,2024-02-29
66,185,49,5,2024-02-25
67,146,57,4,2024-02-08
68,731,71,1,2024-02-18
69,377,49,5,2024-02-02
70,316,20,5,2024-02-28
71,204,43,1,2024-02-04
72,422,44,1,2024-02-28
73,614,16,3,2024-02-20
74,367,97,1,2024-02-13
75,203,72,2,2024-02-13
76,353,30,1,2024-02-27
77,726,60,2,2024-02-22
78,1,47,4,2024-02-12
79,531,91,5,2024-02-22
80,537,70,5,2024-02-23
81,236,34,4,2024-02-07
82,686,19,4,2024-02-22
83,678,20,3,2024-02-13
84,722,96,4,2024-02-24
85,179,20,1,2024-02-10
86,226,93,4,2024-02-06
87,403,91,2,2024-02-20
88,251,93,5,2024-02-17
89,32,32,4,2024-02-02
90,72,60,1,2024-02-21
91,3,74,1,2024-02-08
92,725,97,2,2024-02-20
