order_item_id,order_id,product_id,quantity,price_per_unit,total_price
1,736,382,5,451.16,2255.8
2,13,354,4,19.65,78.6
3,108,221,2,144.07,288.14
4,721,331,1,169.29,169.29
5,644,763,1,395.08,395.08
6,578,568,2,206.43,412.86
7,246,80,4,261.24,1044.96
8,321,390,4,21.49,85.96
9,253,354,1,451.84,451.84
10,267,119,1,290.81,290.81
11,668,647,2,379.72,759.44
12,761,119,4,61.09,244.36
13,371,164,2,456.3,912.6
14,223,589,5,146.42,732.0999999999999
15,154,751,3,314.17,942.51
16,252,658,4,487.45,1949.8
17,683,562,2,68.48,136.96
18,485,461,5,106.47,532.35
19,103,237,4,340.64,1362.56
20,660,113,3,288.61,865.83
21,580,391,5,10.74,53.7
22,717,203,4,411.14,1644.56
23,204,383,3,229.37,688.11
24,717,474,1,220.34,220.34
25,746,165,2,365.18,730.36
26,530,118,3,483.99,1451.97
27,137,475,5,215.5,1077.5
28,666,769,3,459.03,1377.09
29,127,655,4,484.8,1939.2
30,211,149,1,449.27,449.27
31,258,525,5,372.31,1861.55
32,361,27,5,201.04,1005.1999999999999
33,378,764,1,272.21,272.21
34,518,41,1,278.85,278.85
35,137,500,2,350.37,700.74
36,698,114,3,434.03,1302.09
37,647,405,1,283.55,283.55
38,144,407,4,62.56,250.24
39,612,106,3,375.33,1125.99
40,389,698,1,261.98,261.98
41,641,402,1,496.24,496.24
42,595,784,2,478.99,957.98
43,781,386,4,208.52,834.08
44,51,80,3,407.32,1221.96
45,455,546,4,197.41,789.64
46,107,738,2,204.97,409.94
47,192,87,1,36.04,36.04
48,606,482,5,302.72,1513.6000000000001
49,132,368,4,56.72,226.88
50,58,770,5,243.37,1216.85
51,87,259,5,196.89,984.4499999999999
52,36,190,3,269.87,809.61
53,502,583,3,180.69,542.0699999999999
54,395,243,5,58.42,292.1
55,384,593,1,113.52,113.52
56,673,499,5,293.97,1469.8500000000001
57,55,712,2,376.45,752.9
58,347,199,5,456.47,2282.3500000000004
59,115,257,1,246.08,246.08
60,26,771,3,321.11,963.33
