order_id,order_date,customer_id,order_status,product_id,seller_id
1,2024-02-26,56,Pending,90,1
2,2024-02-07,437,Pending,152,8
3,2024-01-05,209,Cancelled,549,9
4,2024-03-06,654,Pending,220,4
5,2024-02-22,475,Pending,107,1
6,2024-03-23,178,Pending,594,3
7,2024-03-03,27,Delivered,369,8
8,2024-03-02,164,Cancelled,195,2
9,2024-03-22,285,Shipped,50,6
10,2024-02-26,716,Shipped,443,4
11,2024-01-09,59,Pending,155,6
12,2024-01-10,575,Shipped,732,8
13,2024-03-23,47,Cancelled,526,3
14,2024-01-18,664,Cancelled,68,5
15,2024-01-29,78,Shipped,508,8
16,2024-03-29,358,Delivered,431,1
17,2024-01-16,160,Cancelled,494,6
18,2024-01-13,255,Cancelled,469,1
19,2024-03-30,575,Delivered,335,9
20,2024-02-04,454,Pending,47,2
21,2024-01-20,474,Pending,421,3
22,2024-02-15,443,Delivered,98,6
23,2024-01-12,292,Pending,664,1
24,2024-03-26,332,Cancelled,24,5
25,2024-01-06,183,Cancelled,186,9
26,2024-01-04,622,Shipped,4,1
27,2024-01-22,142,Pending,309,2
28,2024-03-28,385,Delivered,716,9
29,2024-01-08,263,Shipped,751,1
30,2024-02-06,788,Delivered,342,8
31,2024-03-08,290,Shipped,676,2
32,2024-01-02,259,Cancelled,300,4
33,2024-02-03,269,Cancelled,702,6
34,2024-03-14,418,Shipped,454,2
35,2024-01-24,403,Cancelled,556,8
36,2024-01-11,369,Shipped,213,2
37,2024-01-31,56,Cancelled,800,9
38,2024-03-11,92,Cancelled,131,2
39,2024-03-05,329,Shipped,171,4
40,2024-02-07,414,Shipped,796,9
41,2024-03-15,425,Delivered,672,3
42,2024-03-17,545,Pending,758,9
43,2024-03-25,347,Shipped,326,5
44,2024-02-22,9,Cancelled,212,2
45,2024-02-11,608,Pending,675,3
46,2024-03-13,377,Delivered,65,1
47,2024-01-08,706,Cancelled,154,5
48,2024-01-31,411,Cancelled,726,7
49,2024-02-11,229,Shipped,609,2
50,2024-01-27,210,Shipped,214,9
51,2024-01-18,94,Cancelled,533,8
52,2024-03-28,650,Pending,158,3
53,2024-02-25,314,Delivered,641,8
54,2024-01-22,609,Shipped,12,9
55,2024-03-19,578,Cancelled,730,9
56,2024-02-04,410,Cancelled,354,6
57,2024-03-19,772,Delivered,589,3
58,2024-03-14,424,Pending,212,1
59,2024-01-06,63,Pending,547,6
60,2024-02-08,319,Shipped,378,9
61,2024-02-13,19,Pending,489,3
62,2024-01-18,93,Pending,124,3
63,2024-02-01,227,Delivered,441,7
64,2024-02-08,24,Cancelled,449,3
65,2024-03-10,121,Shipped,192,2
66,2024-03-09,482,Pending,85,5
67,2024-01-03,40,Pending,357,4
68,2024-02-19,727,Cancelled,358,5
69,2024-02-08,10,Pending,632,3
70,2024-02-27,726,Shipped,718,9
71,2024-03-25,642,Cancelled,553,6
72,2024-02-21,597,Cancelled,252,9
73,2024-01-19,576,Pending,634,5
74,2024-03-25,688,Pending,102,8
75,2024-02-25,622,Pending,499,2
76,2024-03-22,573,Pending,599,3
77,2024-02-09,549,Delivered,75,4
78,2024-01-01,636,Delivered,674,3
79,2024-01-30,545,Delivered,774,2
80,2024-02-22,21,Delivered,499,1
81,2024-03-18,702,Pending,508,4
82,2024-03-19,518,Cancelled,577,3
83,2024-02-27,368,Delivered,221,2
84,2024-01-30,434,Delivered,790,4
85,2024-02-01,324,Delivered,351,8
86,2024-03-22,265,Pending,238,8
87,2024-02-05,446,Pending,4,5
88,2024-01-21,632,Pending,368,6
89,2024-03-08,632,Delivered,424,7
90,2024-01-17,540,Shipped,172,8
91,2024-02-01,646,Shipped,461,1
92,2024-01-10,763,Pending,7,5
93,2024-03-15,4,Cancelled,201,6
94,2024-01-07,645,Shipped,153,4
95,2024-02-22,358,Pending,414,1
96,2024-03-19,281,Cancelled,319,6
97,2024-02-24,43,Cancelled,113,6
98,2024-01-11,533,Shipped,173,4
99,2024-02-23,607,Pending,461,1
100,2024-02-15,583,Delivered,758,4
101,2024-01-26,31,Delivered,388,4
102,2024-03-08,587,Shipped,412,4
103,2024-01-03,23,Delivered,96,7
104,2024-03-29,141,Shipped,465,8
105,2024-03-21,701,Delivered,678,3
106,2024-01-07,777,Delivered,118,4
107,2024-03-31,772,Delivered,55,7
108,2024-01-23,476,Pending,781,6
109,2024-01-14,658,Cancelled,651,5
110,2024-01-02,80,Cancelled,389,9
111,2024-01-27,693,Shipped,104,8
112,2024-02-22,346,Pending,746,2
113,2024-02-15,411,Cancelled,399,4
114,2024-03-12,590,Pending,366,5
115,2024-01-20,56,Pending,560,4
116,2024-02-14,684,Delivered,458,2
117,2024-02-28,368,Pending,174,7
118,2024-01-02,355,Delivered,207,8
119,2024-01-24,478,Shipped,249,5
120,2024-03-04,298,Cancelled,711,9
121,2024-03-25,343,Pending,473,5
122,2024-01-04,369,Delivered,280,5
123,2024-01-20,602,Cancelled,723,4
124,2024-01-09,701,Shipped,348,1
125,2024-01-13,628,Delivered,684,8
126,2024-03-16,566,Delivered,242,8
127,2024-03-30,740,Shipped,269,6
128,2024-03-15,738,Delivered,290,6
129,2024-03-10,392,Delivered,65,2
130,2024-03-23,327,Delivered,599,2
131,2024-02-14,114,Delivered,717,5
132,2024-03-16,649,Delivered,700,3
133,2024-01-12,481,Cancelled,726,4
134,2024-02-27,515,Pending,180,7
135,2024-03-12,465,Shipped,648,1
136,2024-01-19,382,Shipped,372,3
137,2024-01-14,363,Cancelled,56,4
138,2024-02-09,556,Pending,138,3
139,2024-02-05,37,Cancelled,556,7
140,2024-01-09,177,Cancelled,706,4
141,2024-03-23,640,Shipped,219,1
142,2024-01-19,619,Shipped,295,1
143,2024-03-09,91,Shipped,87,5
144,2024-02-09,512,Shipped,242,3
145,2024-01-30,694,Shipped,71,8
146,2024-01-05,732,Shipped,393,8
147,2024-03-05,761,Cancelled,388,5
148,2024-03-20,145,Shipped,362,1
149,2024-02-25,491,Cancelled,378,9
150,2024-03-21,322,Shipped,254,6
151,2024-03-16,399,Delivered,261,9
152,2024-01-24,466,Delivered,727,7
153,2024-02-22,794,Delivered,99,9
154,2024-01-28,531,Shipped,788,6
155,2024-03-15,681,Pending,776,1
156,2024-02-24,347,Pending,554,2
157,2024-02-28,338,Shipped,612,8
158,2024-03-12,456,Cancelled,7,4
159,2024-01-17,767,Pending,580,4
160,2024-02-07,178,Pending,309,2
161,2024-02-06,11,Delivered,56,8
162,2024-03-12,223,Shipped,143,7
163,2024-03-13,199,Delivered,120,3
164,2024-01-13,283,Pending,72,9
165,2024-02-02,293,Pending,800,1
166,2024-01-18,637,Cancelled,490,7
167,2024-03-26,757,Delivered,452,2
168,2024-03-21,398,Delivered,661,8
169,2024-03-10,13,Delivered,677,7
170,2024-03-12,457,Pending,473,1
171,2024-03-17,553,Shipped,310,1
172,2024-03-06,689,Delivered,72,9
173,2024-01-21,629,Shipped,216,1
174,2024-01-05,376,Pending,740,3
175,2024-02-20,529,Shipped,31,5
176,2024-01-23,606,Delivered,631,1
177,2024-03-22,544,Pending,598,6
178,2024-03-06,734,Cancelled,169,6
179,2024-01-14,100,Cancelled,692,1
180,2024-03-05,410,Pending,245,6
181,2024-02-05,176,Cancelled,399,2
182,2024-03-02,332,Delivered,400,5
183,2024-03-07,202,Pending,460,4
184,2024-03-03,57,Cancelled,69,3
185,2024-03-11,741,Pending,659,1
186,2024-02-20,312,Delivered,160,7
187,2024-01-27,454,Pending,762,2
188,2024-01-15,665,Pending,753,8
189,2024-02-08,301,Shipped,142,2
190,2024-01-31,169,Delivered,361,5
191,2024-01-20,359,Pending,168,2
192,2024-01-24,793,Pending,606,5
193,2024-01-04,103,Delivered,28,3
194,2024-03-01,610,Delivered,277,6
195,2024-02-01,93,Pending,756,2
196,2024-03-01,299,Pending,628,9
197,2024-02-20,303,Shipped,735,2
198,2024-02-11,560,Pending,151,1
199,2024-02-11,506,Shipped,471,5
200,2024-01-14,692,Pending,550,8
201,2024-01-29,775,Cancelled,580,8
202,2024-03-02,452,Delivered,664,2
203,2024-02-13,617,Cancelled,186,7
204,2024-01-18,500,Cancelled,348,5
205,2024-01-27,155,Delivered,705,6
206,2024-01-22,751,Pending,58,6
207,2024-03-29,317,Shipped,187,4
208,2024-03-07,346,Cancelled,724,9
209,2024-02-09,217,Shipped,237,7
210,2024-01-17,749,Cancelled,341,7
211,2024-02-20,791,Shipped,166,5
212,2024-03-13,3,Delivered,421,5
213,2024-02-16,349,Delivered,42,8
214,2024-01-25,121,Pending,32,2
215,2024-03-20,379,Delivered,142,6
216,2024-01-08,202,Delivered,366,9
217,2024-02-29,704,Pending,741,9
218,2024-01-11,122,Cancelled,736,9
219,2024-03-10,599,Shipped,495,5
220,2024-03-24,757,Delivered,33,5
221,2024-03-01,23,Shipped,262,7
222,2024-03-27,765,Pending,110,7
223,2024-01-16,756,Delivered,35,7
224,2024-03-01,73,Delivered,173,5
225,2024-03-20,211,Pending,594,8
226,2024-03-27,734,Shipped,655,3
227,2024-01-04,24,Pending,346,6
228,2024-03-06,92,Cancelled,482,9
229,2024-01-25,93,Shipped,752,8
230,2024-01-03,660,Cancelled,133,7
231,2024-01-14,412,Shipped,79,8
232,2024-03-27,496,Pending,638,9
233,2024-03-04,635,Pending,695,3
234,2024-02-02,477,Delivered,622,2
235,2024-01-06,789,Delivered,327,6
236,2024-02-04,426,Shipped,646,7
237,2024-01-09,189,Delivered,111,1
238,2024-02-15,535,Shipped,310,7
239,2024-02-23,201,Cancelled,202,8
240,2024-03-24,69,Cancelled,598,9
241,2024-02-04,752,Shipped,653,6
242,2024-03-25,113,Cancelled,651,2
243,2024-01-26,449,Cancelled,109,2
244,2024-02-18,461,Cancelled,755,4
245,2024-02-19,535,Delivered,53,7
246,2024-03-26,1,Cancelled,266,8
247,2024-01-28,69,Cancelled,25,1
248,2024-01-16,153,Delivered,647,2
249,2024-03-18,233,Shipped,777,8
250,2024-02-13,583,Pending,650,8
251,2024-02-10,346,Pending,234,3
252,2024-03-24,130,Pending,798,3
253,2024-01-06,203,Pending,599,9
254,2024-01-23,423,Pending,404,8
255,2024-02-26,177,Delivered,118,2
256,2024-03-13,300,Pending,634,3
257,2024-02-22,606,Cancelled,155,6
258,2024-02-28,347,Cancelled,8,6
259,2024-02-04,370,Cancelled,440,4
260,2024-01-08,128,Pending,543,9
261,2024-03-30,355,Cancelled,357,1
262,2024-03-03,698,Delivered,560,2
263,2024-02-20,475,Cancelled,627,5
264,2024-01-16,498,Pending,610,1
265,2024-02-01,364,Delivered,545,8
266,2024-02-20,328,Delivered,620,9
267,2024-02-09,357,Delivered,15,2
268,2024-01-21,763,Shipped,215,8
269,2024-01-20,763,Delivered,31,9
270,2024-02-22,654,Pending,583,2
271,2024-01-23,25,Cancelled,479,5
272,2024-03-25,99,Shipped,60,5
273,2024-01-23,209,Shipped,74,7
274,2024-01-18,580,Cancelled,658,5
275,2024-03-28,161,Shipped,442,4
276,2024-02-14,424,Cancelled,378,7
277,2024-02-20,5,Shipped,490,3
278,2024-01-09,742,Pending,527,6
279,2024-03-06,7,Delivered,700,3
280,2024-02-26,606,Cancelled,187,7
281,2024-01-11,166,Cancelled,740,5
282,2024-03-14,754,Pending,82,4
283,2024-03-27,258,Delivered,40,5
284,2024-01-17,2,Cancelled,365,9
285,2024-01-27,428,Pending,508,8
286,2024-01-30,450,Delivered,127,4
287,2024-02-22,247,Pending,456,4
288,2024-02-12,677,Shipped,688,5
289,2024-01-20,600,Pending,251,9
290,2024-01-12,66,Pending,134,8
291,2024-02-04,597,Cancelled,759,5
292,2024-02-06,43,Cancelled,593,1
293,2024-02-27,29,Pending,446,1
294,2024-02-02,560,Cancelled,571,3
295,2024-01-08,363,Shipped,35,7
296,2024-02-01,136,Delivered,169,9
297,2024-01-10,107,Cancelled,472,4
298,2024-02-20,439,Pending,658,7
299,2024-01-14,372,Shipped,53,3
300,2024-01-05,240,Shipped,442,8
301,2024-01-09,120,Delivered,656,8
302,2024-03-14,457,Pending,527,6
303,2024-02-10,241,Pending,624,5
304,2024-02-17,560,Shipped,180,6
305,2024-01-28,351,Cancelled,672,6
