payment_id,payment_date,payment_mode,payment_status,order_id
1,2024-03-20,Gift Card,Completed,385
2,2024-03-10,Gift Card,Failed,167
3,2024-03-14,Credit Card,Failed,350
4,2024-03-09,Gift Card,Failed,534
5,2024-03-19,Credit Card,Pending,737
6,2024-03-17,Gift Card,Completed,192
7,2024-03-08,Credit Card,Failed,38
8,2024-03-14,PayPal,Completed,263
9,2024-03-19,Gift Card,Completed,734
10,2024-03-30,Credit Card,Pending,776
11,2024-03-20,Gift Card,Completed,693
12,2024-03-02,Credit Card,Completed,527
13,2024-03-19,PayPal,Completed,185
14,2024-03-13,Gift Card,Completed,520
15,2024-03-04,PayPal,Failed,83
16,2024-03-21,Credit Card,Failed,387
17,2024-03-10,Credit Card,Failed,651
18,2024-03-30,Gift Card,Failed,251
19,2024-03-18,Credit Card,Failed,644
20,2024-03-25,Gift Card,Failed,266
21,2024-03-21,PayPal,Failed,395
22,2024-03-25,PayPal,Failed,384
23,2024-03-29,Gift Card,Completed,751
24,2024-03-23,Credit Card,Pending,755
25,2024-03-24,PayPal,Completed,151
26,2024-03-03,Gift Card,Pending,114
27,2024-03-20,Credit Card,Failed,123
28,2024-03-13,Gift Card,Completed,627
29,2024-03-29,Gift Card,Completed,26
30,2024-03-27,Gift Card,Failed,266
31,2024-03-12,Gift Card,Failed,589
32,2024-03-10,Credit Card,Pending,86
33,2024-03-07,Gift Card,Failed,139
34,2024-03-26,Gift Card,Pending,482
35,2024-03-13,PayPal,Pending,373
36,2024-03-17,PayPal,Failed,414
37,2024-03-27,Credit Card,Pending,754
38,2024-03-27,Credit Card,Completed,229
39,2024-03-07,Credit Card,Failed,656
40,2024-03-09,PayPal,Failed,268
41,2024-03-20,Gift Card,Failed,644
42,2024-03-24,Credit Card,Completed,136
43,2024-03-02,Credit Card,Completed,22
44,2024-03-13,Gift Card,Failed,754
45,2024-03-16,Credit Card,Failed,665
46,2024-03-24,Gift Card,Failed,495
47,2024-03-02,PayPal,Failed,191
48,2024-03-23,Credit Card,Pending,110
49,2024-03-14,Gift Card,Completed,540
50,2024-03-21,PayPal,Failed,25
51,2024-03-07,PayPal,Pending,135
52,2024-03-14,Gift Card,Pending,194
53,2024-03-12,Credit Card,Completed,536
54,2024-03-09,Credit Card,Failed,114
55,2024-03-16,Credit Card,Completed,256
56,2024-03-13,Credit Card,Failed,642
57,2024-03-11,Gift Card,Completed,746
58,2024-03-12,Gift Card,Completed,569
59,2024-03-09,PayPal,Pending,230
60,2024-03-25,Credit Card,Pending,780
61,2024-03-23,PayPal,Pending,461
62,2024-03-30,PayPal,Pending,664
63,2024-03-16,Credit Card,Pending,208
64,2024-03-15,PayPal,Failed,630
65,2024-03-11,Gift Card,Completed,731
66,2024-03-16,PayPal,Failed,631
67,2024-03-14,Credit Card,Completed,300
68,2024-03-02,Credit Card,Pending,553
69,2024-03-03,Credit Card,Failed,459
70,2024-03-02,PayPal,Completed,557
71,2024-03-08,Credit Card,Failed,780
72,2024-03-07,Gift Card,Completed,89
73,2024-03-16,Gift Card,Completed,348
74,2024-03-15,PayPal,Completed,409
75,2024-03-24,Credit Card,Failed,648
76,2024-03-04,Gift Card,Failed,362
77,2024-03-05,Credit Card,Failed,476
78,2024-03-23,Gift Card,Failed,700
79,2024-03-10,Credit Card,Failed,768
80,2024-03-21,Credit Card,Completed,243
81,2024-03-14,Gift Card,Completed,654
82,2024-03-16,PayPal,Failed,604
83,2024-03-04,Credit Card,Completed,388
84,2024-03-28,PayPal,Failed,741
